Teks|Sentimen
Trading Selasa (27/02/2024)📈 🚀 BBNI, KLBF, BREN, TPIA, ARKO, dan AMRT IHSG Technical View👀 IHSG ditutup turun 0.15% kemarin, dan disertai dengan net sell asing ~913 Miliar. Saham yang paling banyak dijual asing adalah BBCA, BMRI, ADRO, TLKM, dan KLBF.|Negatif
Investor Asing Jualan Saham Hingga IHSG Turun, BBCA Paling Besar [URL]|Negatif
50% saham bca 50% saham paragon 50% saham lvmh dh itu aja|Netral
Ya gimana mau nurunin saham mereka secara signifikan, kalo tiap dikasih promo gede langsung pada antri mengular? Mukdi tuh contohnya. Kemarin pas hut bca ngasih cashback gede. Langsung rame mukdinya. Padahal hari biasa sepi|Netral
pengin beli saham BBCA, tapi kayanya harus win $500 dulu deh|Positif
Happy birthday, pacarnya Bang Timo. Katanya mau giveaway saham BBCA hari ini ya?|Positif
IHSG Melemah ke 7.283, Saham BYAN, BBCA &amp TLKM Menjangkari [URL]|Negatif
[USERNAME] Gue tahun ini pengen dikasih saham BBCA 1000lot aja, ga muluk2🌝|Positif
IHSG Dibuka Melemah Awal Pekan, Saham Bank Jumbo BMRI, BBCA, BBRI Berguguran [URL]|Negatif
Sisa duit nganggur setelah bayar cicilan dsb ada sekian juta. Kapan harus nyerok saham perbankan? Saran web/sejenisnya dong biar bisa analisa sendiri? Saat ini sender cuma buat invest bukan trading, pegang $BBCA $BBNI $BBRI $BMRI Thankyou yang mau jawab, (cont)|Netral
Trading Senin (26/02/2024)📈 🚀 BBRI, BMRI, TLKM, BBTN, FILM, dan BRIS IHSG Technical View👀 IHSG ditutup turun 0.61% Jumat lalu, dan disertai dengan net sell asing ~1.37 Triliun. Saham yang paling banyak dijual asing adalah BMRI, BBRI, TLKM, BBNI dan BBCA.|Negatif
Akum terus nih asing, uhuy 🙌🏻 Apa sih yang ditunggu? Yuk ikutan referral Bluechip bisa dapat saham 🤩👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Positif
Harga telor naiknya lebih cepat daripada harga saham BCA yaoloooo tolooooong 😭😭😭|Negatif
bbri alami 2 kali stock splits: artinya harga riil saat neh, Rp 6125: jika tanpa stock splits berarti Rp 61.250,-: cukup mahal, lebe murah daripada saham BBCA n DSSA seh|Negatif
👀Top 3 Emiten Banks pilihan gw: 1. BBCA 2. BBNI 3. BBRI Kalian apa?|Positif
Sekarang kalau mau beli saham BCA, harus punya uang satu juta anjir, valuasi nya emang ngeri|Negatif
shm! pertama kali ikut rups, ini cara daftarnya gimana ya? udh baca” masih blm paham, btw rups bca. thx|Netral
[USERNAME] Dikit amat, minta bca 10rb lot lah|Positif
[USERNAME] [USERNAME] [USERNAME] Bbca pake sistem nabung aja sih saham sepanjang masa soalnya 😂😂|Positif
Pengen jadi bca prioritas dan dapat undangan rups nya saham apa gitu ~|Positif
[USERNAME] Beli saham BCA|Positif
[USERNAME] Sini gua suapin, bang. Pakai saham BBCA mau?|Positif
[USERNAME] [USERNAME] dibilangin beli saham BCA aja|Positif
[USERNAME] [USERNAME] [USERNAME] Maju mundur nih mau avg down atau nambah muatan bbca|Positif
Akhirnya wishlist saham di awal tahun tercapai 🍾🛵💨 BBRI 5 lot BBCA 2 lot —-&gt segera 5 lot BMRI 5 lot 🙏🏻🙏🏻🙏🏻|Positif
Top News: Saham BCA Hampir Rp 10 Ribu, Nasib Hak Angket di PDIP [URL]|Netral
[USERNAME] [USERNAME] 6 juta ya. Emang ada BBCA di bawah 600rb?|Netral
[USERNAME] [USERNAME] Mungkin 6 juta ya maksudnya, bbca aja harga 1 lot udah lebih dari 600k|Netral
Equity Research Analyst BCA Sekuritas Mutiara Nita berharap pemberian Penyertaan Modal Negara (PMN) dapat membantu PT Wijaya Karya Tbk (WIKA) untuk menyelesaikan berbagai proyek yang sedang dikerjakan, termasuk Proyek… [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] 4 tahun BBCA, 4 Tahun BMRI.....dr awalnya dikit krena stock split smpe skrng jd puluhan. Dr yg cuman dpet deviden ratusan rbu udah nyentuh 1jtaan.|Positif
[USERNAME] jajan saham bca di stockbit nder..|Positif
Harga Saham Mendekati Rp 10.000, BCA Berencana Stock Split Lagi? [URL]|Netral
BBCA mnurut grafik tren harga saham berdasarkan sumber Yahoo Finance mengalami 2 kali aksi korporasi: stock splits: 2:1 (2008), n 5:1 (2021): artinya harga seharusnya (tanpa stock splits) 10 kali lipat harga per tgl 22 Februari 2024 (9875): 98750 perak aza: dssa: Rp120.250,-|Netral
Mending 4 lot saham bca atau 2 lot bca 2 lot bbri??|Netral
pengen saham BBCA 25lot BBRI 25lot|Positif
Presdir BCA, Jahja Setiaatmadja, menegaskan belum ada pertimbangan bank untuk melakukan aksi korporasi stock split saham. Sebab, harga saham saat ini masih menarik bagi investor. [HASHTAG] [HASHTAG] [URL]|Netral
Presiden Direktur BCA, Jahja Setiaatmadja, mengibaratkan dividen yang akan dibagikan ke pemegang saham sebagai uang sangu jelang lebaran. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Positif
[USERNAME] Mau saham BCA atau gudang garam 5 lot aja|Positif
For your info… chipmin kasih tahu aja siapa tahu ada yang belum tahu 🤭 Yuk promo referal Bluechip dapat saham masih ada loh… cek disini 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Positif
[USERNAME] Kasih saham BCA|Positif
Tebar Diskon HUT, Saham BCA Malah Ambruk - [URL] [URL]|Negatif
sekarang kan menghadiri rups shm! bbca ga perlu pake ktur, terus cara konfirmasi kehadiran secara offlinenya gimana? atau langsung dateng ketempatnya aja sesuai jadwal?|Netral
BTPN Bakal Rights Issue Rp6,73 T, BCA Ambil 26,68 Juta Saham [URL]|Netral
akumulasi saham BBCA, BBRI, BNII, ARTO dalam portofolio warteg BY JO ot C: neh, per tgl 22 Februari 2024: kontrarian seh: [URL]|Netral
Saham BBCA 10 lot aja..|Positif
[USERNAME] saham BBCA 1000 lot aja,|Positif
Bank BTPN siap menggelar rights issue Rp 6,7 triliun, di mana BCA akan ikut ambil bagian untuk mempertahankan minimal 1% kepemilikan [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
IHSG Diprediksi Rebound, Saham BBCA hingga MDKA Direkomendasikan [URL]|Positif
8. Iya gue pernah lulus Kedokteran UI jalur SIMAK, tapi pas tes nya gue tidur 40 menit. Bukan karena pinter, tapi karena soalnya terlalu susah jadi mostly asal jawab😬. Dan hoki: lulus! 9. Seumur hidup ga pernah beli saham 4 big banks (BBCA/BBRI/BBNI/BMRI)|Netral
Saham BCA 1% aja gausah banyak banyak|Positif
Klo setiap sore mati listrik terus jaga lilin kek gini cepet kaya nih, kira kira mau beli saham bca atau saham pln ye|Netral
BBCA king of IHSG 👑🤟 Ikutan kuy pindah saham ke Bluechip gratis, tis, tis!! 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Positif
IHSG Turun Tipis usai BI Rate Tetap 6%, Saham BBCA-GOTO Lesu [URL]|Negatif
[USERNAME] [USERNAME] hbd bca, bagi 2 lot saham dong|Positif
[USERNAME] [USERNAME] [USERNAME] Belajar skill dulu boss, anak owner BCA itu jadi direktur. Baca: JADI DIREKTUR Apa masyarakat komplain? Ga tuh, nyatanya saham bca masih naik kan dan layanan bca masih diterima sebagian besar masyarakat|Positif
[USERNAME] [USERNAME] Ini sirik namanya bos, hidup itu memang ga fair. Privilege kalau dipakai buat hal benar kenapa tidak? Anak Owner BCA ga semuanya jadi Dirut, tp ada yg diangkat jadi Dirut, dan selama dia bisa kerja, masyarakat juga okay aja. Nyatanya harga saham BCA tetep naik terus|Positif
Kinerja saham bank-bank besar seperti Himbara dan PT Bank Central Asia Tbk (BBCA) kian berkibar. [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Positif
IHSG Dibuka Melemah Jauhi Level ATH, Saham BBCA, GOTO hingga AMMN Tergelincir [URL]|Negatif
Trading Idea Rabu (21/2/2024)📈 🚀 MEDC, MAPI, ADRO, BREN, ICBP, dan ARTO IHSG Technical View👀 IHSG ditutup naik 0.77% kemarin, dan disertai dengan net buy asing ~1.29 Triliun. Saham yang paling banyak dibeli asing adalah BBRI, TLKM, BBCA, BBNI, dan GOTO.|Positif
[USERNAME] [USERNAME] [USERNAME] bukannya sama aja ya, 5juta naik 2% di BCA atau BNGA kan juga sama-sama dapet 5juta 100 ribu bang?|Netral
Saham BCA (BBCA) tembus Rp 10.025 pada perdagangan 20 Februari 2024 kemarin [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Positif
A Tinggal beli saham bsi, bca, bri, emas 90kg, sisanya di puter di trading Bulan depan dah bisa generate $300.000|Positif
gw gangerti main saham tp bbca skrg 10rb anjrit nyesel cm beli dikit|Positif
Menurut gue harga saham BBCA gila 😭😭😭😭|Negatif
[USERNAME] saham bca mnurun kah😞|Negatif
Fantastis! Biaya Sekolah SMA Binus Serpong Setara 10100 Lembar Saham BBCA [URL]|Netral
[USERNAME] Perbankan ajj nder. Bbri, bbca, bmri, bbni, buat mengurangi culture shock volatilitas nya|Positif
Pengen juga nanti di umur segitu kalau gabut mau beli seluruh saham BCA dehh|Positif
BBCA. Contoh bisnis bagus. EPS nya naik dari waktu ke waktu. Dalam 4 tahun eps nya tumbuh hampir 100 persen! 2020 220 2021 255 2022 330 2023 395|Positif
Tergoda saham bbca/bbri. Gpp kali yaaa beli 1 atau 2 lot aja🙈|Positif
ini dia tujuan hidup lainnya, punya 1000 lot saham BBCA~|Positif
[USERNAME] Didalamnye ade sertifikat tanah dan lembar saham BBCA, sayang kalau mau di lepas.|Positif
Efek Quick Count Pilpres 2024 Mereda, IHSG Tinggalkan 7.300 Tertekan Saham BBCA cs [URL]|Negatif
[USERNAME] mw maling saham BCA|Positif
[USERNAME] [USERNAME] Kak, berarti sebaiknya naruh sahamnya di perbankan sprti bri, bni, mandiri, bca gtu ya kak?|Netral
[USERNAME] Horeeee, minta saham bbca|Positif
[USERNAME] BMRI, nder... dividennya gede kalo dibanding BBCA. kalo mau BMRI tunggu retracement dulu dikit dari ATHnya di 7375. nanti coba averaging aja kalo ada tambahan uang.. opsi lain BBRI|Positif
[USERNAME] BNGA bagus. Klo beli BCA cuma dpt 1 lot doang|Positif
Nyolong saham BBCA 100%|Positif
[USERNAME] bbca dong, saham no 1 di indonesia, tapi kalo kemahalan mending beli bbri, bank bumn dng jumlah cabang dan layanan ATM terbanyak di Indonesia|Positif
shm! Ada uang 1jt mending masuk BBCA/BMRI/BBRI/BNGA?|Netral
Trading Idea Senin(19/2/2024)📈 🚀 BBRI, BREN, CUAN, ADRO, BFIN, dan INCO IHSG Technical View👀 IHSG ditutup naik 0.44% kemarin, dan disertai dengan net buy asing ~1.5 Triliun. Saham yang paling banyak dibeli asing adalah BBCA, TLKM, BBRI, BMRI dan ASII.|Positif
Akum jumbo big banks with all time high baru 🥰 saham bank jagoan ku 👇 Jangan lupa ada promo referal Bluechip dapat saham [HASHTAG] hingga [HASHTAG] loh! [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Positif
[USERNAME] Dibeliin saham BCA kak 10 lot aja ga usah byk2|Positif
Gov bonds yg rate-nya fix emang good investment sih, tapi kalo gw lebih suka ke reksadananya sambil nungguin stock market crash lagi kyk pas covid kemarin. Begitu market crash, cabut reksadana trs switch ke saham, borong bbca, bbri, bmri wkwk 😂|Positif
[USERNAME] saran aja ke Obligasi FR, SBN atau saham blue chip kaya BBCA BBRI BMRI, itu semua tergantung profil resiko njenengan mas.|Netral
asem lambung gua naik kyak saham bca|Positif
laba tahunan 2024 harus naik &amp dividen lebih gede, mandat investor $bbca! Shm! [URL]|Positif
[USERNAME] - yang low risk aman banget better beli ORI di bibit app - medium risk nunggu ada kebakaran market indonesia terus beli saham BBCA/BBRI di bottom - high risk diputer buat jual beli mobil second, value propositionnya bekas dipakai gubernur otomatif|Netral
[USERNAME] [USERNAME] Saham juga haram kalau enggak analisa terlebih dahulu, jatuhnya spekulasi (gharar) Udah spekulasi terus DCA saham BBCA BBRI|Netral
[USERNAME] [USERNAME] bener,, gua pnya saham 18% di bca soalnya|Positif
Lo Kheng Hong menilai BCA (BBCA) adalah wonderful company lantaran dalam 23 tahun sahamnya terus melambung [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Positif
[USERNAME] kalo aku taruh di tmrw aku dposit in setahun. atau ga beli saham bbca atau itmg mayan wkwkw nariknya gampang pokoknya seblm 2mgg beli tiket atau pake uangnya tarik aja|Positif
Investor Asing Getol Borong Saham BBRI, BMRI &amp BBCA saat Pilpres 2024 [URL]|Positif
[USERNAME] 1,5 buat budget makan kenyang deh. 1,5 buat dihabisin dijudi. Buat beliin saham BCA mah dah pasti cuan.|Positif
liat akun salah satu influencer saham, dia DCA saham BBCA tiap bulan dengan konsisten udah return 33% selama 3 tahun bisa nih ditiru? secara masih bingung bingung buat nabung biaya pendidikan anak uwe yang banyak ini lets try boleh lah ya ✨|Positif
dalam 1 taon pergerakan rasio portofolio warteg saham BY JO ot B, neh: 16 Februari 2024 atas 17 Februari 2023: ternyata THS dari 15 Saham yang diinves, hanya 6 Saham yang bertahan NAEK: bbca, bbri, byan, mapi, midi, n IMAS: tapi tetap CUTE positif pada warteg per tgl 16 Feb 2024: [URL]|Netral
💚 aku punya budget nabung 5jt tiap bulannya, aku lg mau nabung 1 lot saham bca tiap bulan, sisanya enak ditabung kemana lagi ya? udah ada dana darurat 6x pengeluaran jd udh ga mikirin itu|Positif
[USERNAME] BBRI hanya ada RUPS online, jika punya saham scriptless. Tidak bisa datang ke RUPS offline. Antara BBCA atau BMRI, lebih baik datang ke RUPS BMRI.|Netral
Shm! Guys yg pernah ikut RUPS $BBRI $BBCA $BMRI souvenirnya bagusan yang mana? Wkwkw jujur cuma bisa ikut salah satu tp masih galau mau ikut mana|Netral
"Spek anak papi i"" bgt ini mah, naik alphard ya itu? Minimal kalo mau deketin deline punya saham BBCA dulu sih ges 100 lot minimal"""|Positif
Saham BCA 10K sob|Positif
[USERNAME] Dulu gw semua nya nder + bbca juga Tapi sekarang cukup bmri, menurutku growth nya bmri lumayan cepet + dividennya jug lebih gede dari yang lain|Positif
Buat yang mau beli saham BBCA, bisa langsung beli di Stockbit ya! Download Stockbit di: [URL]|Netral
Konglomerat Anthoni Salim masih tercatat sebagai salah satu pemegang saham PT Bank Central Asia Tbk (BBCA) atau BCA [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] [USERNAME] Oiya mas, mau nanya. Saya punya 1 lot aja sih BBCA. Avg 9150 itu. Baiknya pas ex date itu saya jual atau hold aja ya? Terimakasih|Netral
[USERNAME] Bisa untuk dicoba kalau investasi jangka panjang… nabung saham bbca dan bbri, coba dihitung aj perkembangan harga dan devidennya… harusnya aman dan menguntungkan kalau sifatnya investasi….|Positif
Ga bakal aku jual jg si tapi, ambis punya saham BCA banyak soalnya🥰|Positif
Salah satu contohnya, dia menyebutkan saham BBCA yang dalam rupiah terlihat naik tinggi tapi kalau dikonversi jadi dolar AS nggak begitu. Saham BBCA katanya nggak kemana-mana.|Negatif
$BBCA tembus Rp10.000, jadi inget obrolan dengan seorang teman kalau dia takut investasi saham nanti uangnya tetep tergerus inflasi dan pelemahan kurs rupiah. [URL]|Negatif
Saham BCA naik, happy 🥹|Positif
[USERNAME] [USERNAME] Bbca tanggal tercatat kapan|Netral
Sell atau hold ya ini? Udh ketauan blm dividen Bbca brp? Kalo sell bagusnya kapan ya shm! [URL]|Netral
BBCA BMRI duo saham banking yang sungguh saya cintaaa, hampir 50% return dalam setahun ini kayanya 🤑🤑|Positif
Weww shm! BCA ath 🎉🎉🎉|Positif
Saham BCA (BBCA) bergerak di zona hijau pada awal sesi I perdagangan 16 Februari 2024 [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Positif
[USERNAME] tapi makasih pak wowo unggul saham indo pada naik terutama bbca dan bahan tambang lainya …. btc up 3k $ thanks a [URL]|Positif
Saham $BBCA sentuh 10.000 pak Alamak wes didol 9700 Disyukuri|Positif
Trading Jumat (16/02/2024)📈 🚀 FILM, BREN, ACES, JSMR, MEDC, KLBF IHSG Technical View👀 IHSG ditutup naik 1.3% kemarin, dan disertai dengan net buy asing ~2.33 Triliun. Saham yang paling banyak dibeli asing adalah BMRI, BBCA, BBRI, BBNI dan TLKM.|Positif
BCA akan menggelar RUPST pada 14 Maret 2024 dan salah satu mata acaranya adalah penetapan penggunaan laba bersih [URL] [HASHTAG] [HASHTAG] [HASHTAG]|Netral
[USERNAME] mau sampai kapan ngebacot ? gabsa nikmatin aja ? prabowo unggul pada tanggal 14 saham indonesia pada ijo seperti bbca batubara nikel [URL]|Positif
[USERNAME] 70M dibuat forex aja udh salah bgt wkwk,beliin saham BCA/Mandiri ato beli obligasi aja udh cukup bgt wkwk|Positif
[USERNAME] Buat deviden oke. Tp ya ga kemana2. Mending big bank aja (bbca bbri bmri bbni)|Positif
[USERNAME] Saham BBCA 100lot 🫶|Positif
[USERNAME] Cuma terima saham BCA. ☺️|Positif
[USERNAME] Pen punya 10 btc sama 40 lot saham bbca|Positif
Hal ini akan memicu para investor untuk lebih terhindar dari saham gorengan dengan membeli saham dari perusahaan yang bagus seperti BCA dengan harga yang lebih terjangkau sesuai dengan kemampuan.|Positif
Saham BBCA Diborong Asing, Cetak Rekor Harga Tertinggi [URL]|Positif
Guys, saya mendapatkan undangan untuk menghadiri RUPST SHM! BBCA ketika membuka email. Saya hanya baru memiliki 1 lot dan masih awam untuk hal ini, apa yang harus saya lakukan ya? Terimakasih.|Netral
Kalau gojek merger dengan Grab, promonya jadi makin dikit atau banyak ya? 🤔 Promo referal Bluechip dapat saham [HASHTAG] hingga [HASHTAG] 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]|Netral
Anjroooottt saham bca menaikkkk, aku senang 🥳🥳🥳|Positif
Mirip Lo Kheng Hong, Ini Strategi Investasi Saham Ala Bos BCA [URL]|Netral
IHSG Sesi I Bersinar, Harga Saham BCA BRI BNI BTN dan CIMB Terbang [URL]|Positif
saham bca naik terus📈|Positif
[USERNAME] YEY. Boleh sekalian saham BCA ga ya? 😅|Positif
Ditanya loh mau beli apa, jawabnya saham bca. Tak tutuk pala mu loh mas.|Positif
saham bank lagi pada gila semua, bbca otw 10.000 co|Positif
Setelah kmrn 02 menang versi QC harga saham bank bank BUMN dan BCA jd naik lumayan banyak🙏|Positif
IHSG suka dengan hasil Pemilu, sempat mencapai 7.365 Saham $BBCA hampir 10 rebu 😁 [URL]|Positif
IHSG rebound , pertanda market optimis. dan tidak heran, the Big Four yg paling banyak dibeli pagi ini pasca PEMILU adalah saham perbankan. $BBRI $BBCA $BMRI $BBNI|Positif
[USERNAME] [USERNAME] Gw tetap saham BBCA|Positif
[USERNAME] Kalau gw cukup 2000 lot saham BBCA Mas Rom|Positif
[USERNAME] Kalo bbri, bbca tu saham y? Beda regulasinya sm reksadana?|Netral
[USERNAME] Saham rekomend apa paa ? Aku sih pengen bbca dan bbri aja tapi belum turun2 mau beli|Positif
[USERNAME] [USERNAME] Pengennya saham adaro, tapi sungkan ya mas. Jadinya, bbca aja wes 🤭🤣🤣🤣|Positif
[USERNAME] [USERNAME] Manfaat banget sih emang, apalagi slot sahamnyaa. Kok BCA aja gak pengen sekalian saham Freeport wkwk|Positif
Aku gabutuh bunga, aku gabutuh cokelat aku cuma butuh saham BCA 15%.|Positif
02 udah jelas bagus, saham blue chip tiada tanding BCA + BRI + BNI + Telkom, auto gacor bos! [URL]|Positif
Menerima serangan fajar minimal 10.000 lot saham BBCA!|Positif
[USERNAME] [USERNAME] Gak muluk² mas. Emas murni 10 gram dan 10 lot saham BBCA dibayar tunai|Positif
[USERNAME] Beli saham KAI, saham BCA, rumah di BSD, Mobil, Motor, Pesawat Jet pribadi Aamiinn|Positif
Shm! $BBCA nih kalau Gainya diambil 7-8% tiap tahun masih bagus ga? Soalnya mau invest yg ngasih return 8% an pertahun nih|Netral
Btw saham BBCA dan Bank Mandiri on fire ya sejak 1 Januari 2024. Demikian jg saham BBRI dan BBNI.|Positif
Sebagai orang awam yg punya cukup banyak saham di perbankan. Podcast soal hutang pak akbarfaizal uncencored bikin gw deg deg an. Gw harus jual kapan ya ini saham bank bank yg angkanya indah ini. Fyi gw punya saham bbri di angka yg bagus banget, bbca dan bbni juga beli angka kcl.|Negatif
"[USERNAME] [USERNAME] kl guwe sih belilah saham yg menjalankan praktik riba, bbca, bbri"""""|Positif
since valentine identik dengn coklat n ak egk mam coklat, ak jdi ngarep di kasi saham bbca 1 lot aja|Positif
Cetak Rekor Harga Saham, Market Cap BBCA Tembus Rp1.208 Triliun [URL]|Positif
[USERNAME] klo isinya 1 lembar (bkn 1 lot) saham BBCA atas unjuk gmn pak? disimpen atau dibuang?|Netral
Shm! Di web idx laporan keuangan yang keluar cuma BBCA. Ini web rujukan investor tapi kok gak update?! [URL]|Netral
tapi 1gr emas kamu bisa dapet 1 lot saham bca weh, ngga sampe 1jt loh|Positif
[USERNAME] Kalo emas itu bukan investasi sih tapi tabungan nderrr Kalo mau invest aman ke bibit aja, beli reksa dana pasar modal yg risknya kecil jangan saham Atau kamu depositoin aja di bca/maybank dulu aku minimal 10 juta Kalo di bank digital minimal 1 juta|Netral
[USERNAME] 1. lily – tulip – red rose 2. apa aja asal dark chocolate 3. ny cheese cake atau es teler cake atau red velvet Union 4. ice cream, aku suka vanilla 5. saham bbca 😋|Positif
Dari duluu mending investasi di BBCA sama Bitcoin aja anjirr, terlalu FOMO sii semua saham &amp coin dibelii 😬|Positif
[USERNAME] [USERNAME] Saham BBCA 100 Lot❤|Positif
[USERNAME] dibeliin saham bca|Positif
