Teks|Sentimen
Awas, Bos OJK Bocorkan Ada Modus Penipuan Baru yang Meresahkan|Negatif
Chaebol: Cerita 5 Keluarga yang Kendalikan Ekonomi Korea Selatan|Netral
Bendungan Garapan WIKA Ini Sukses Diresmikan Jokowi|Positif
Antisipasi Ancaman Global, OJK Bakal Lakukan Ini|Netral
Rupiah Putus Tren Pelemahan 5 Hari Beruntun Gegara Data BI|Positif
Bos BMRI Beberkan Strategi Kunci dan Tantangan 2024|Netral
Tahun Politik Ramai Perusahaan Politisi Galang Dana IPO, Apa Kata BEI?|Netral
Nyata! Kelas Menengah RI Masih 'Makan Tabungan' di Akhir 2023|Netral
Wall Street Dibuka Naik Sih, Tapi Tipis-Tipis Aja Nih|Positif
Tak Kuat Modal, 10 Asuransi Tak Lanjutkan Usaha Syariah|Negatif
4 Peraturan Baru Asuransi & Dapen Terbit Tahun Ini, Cek Rinciannya|Netral
Rupiah Ditutup Terlemah 1 Bulan Terakhir Gegara Proyeksi Ini!|Negatif
Otoritas Bursa AS Kena Hack, Harga Kripto Berterbangan|Negatif
IFG Tunjuk Novi Imelda Jadi Direktur Bahana TCW|Netral
Menantu Jokowi Jadi Sorotan Publik, Segini Harta Bobby Nasution|Netral
Dolar AS Akan Tetap Lebih Perkasa Dibanding Yuan, Ini Alasannya|Netral
IHSG Ditutup Sumringah, 6 Emiten Ini Jadi Penopang|Positif
Inflasi AS Kembali Naik, Tapi Wall Street Tetap Dibuka Cerah|Positif
OJK Ungkap Kelompok Ini Sasaran Legit Pinjol dan Investasi Ilegal|Netral
Ganjar: BUMN Tak Boleh Punya Cucu-Cicit!|Netral
Inflasi Tembus 65%, Lira Sentuh Level Terendah Lawan Dolar|Negatif
2 Alasan PKPU Budi Said ke Antam Kurang Tepat|Netral
Bos Total Bangun Persada Borong Saham TOTL|Positif
Wall Street Menghijau Lagi, Bakal Happy Weekend?|Positif
OJK Cabut Izin Futuready Insurance dan Bekukan Sarana Sultra Ventura|Negatif
Agus Marto Genggam 169.585.462 Saham GOTO|Positif
Wamen BUMN Kasih Tips Ini Agar Pengusaha Kecil Naik Kelas|Netral
"Bos BRI: Pernyataan ""BUMN Tidak Harus Untung"" Berbahaya"|Netral
Mau IPO, Topindo Solusi Komunika Patok Harga IPO Rp 115-125/Saham|Positif
ADRO Tebar Dividen, Boy Thohir Hingga TP Rachmat Dapat Segini|Positif
IHSG Happy Weekend, Duet BMRI dan BBRI Jadi Penopang Utama|Positif
Limit Rp 20 Juta, Ini Cara Daftar & Pakai BCA Paylater|Netral
Cuan! Harga Emas Sepekan Melejit, Jadi Rp 1,131 Juta per Gram|Positif
Buat Intip-Intip, Ini Saham Paling Cuan dan Boncos Sepekan|Netral
Rupiah Terdepresiasi Minggu Ini, Dolar Jadi Rp15.545|Negatif
Tren IHSG Sepekan Melemah, Meski 'Hijau' di Akhir Minggu|Negatif
Perkenalkan BCA Paylater Limit Rp20 Juta, Ini Cara Daftarnya|Netral
Profil William Li, Founder Akulaku yang Paylaternya Disetop OJK|Netral
Citigroup Bakal PHK 20.000 Karyawan, Ada Apa?|Negatif
Petaka Meikarta, Dulu 'Naik Daun' Kini Sepi Bak 'Kuburan'|Negatif
Awali Tahun dengan Gemilang, Saham BBRI Sentuh All Time High|Positif
Robert Kiyosaki Ramal AS Jadi Negara Termiskin Dunia, Kok Bisa?|Netral
Kisah Keruntuhan Dinasti Bisnis Salim Setelah 3 Dekade Berjaya|Netral
Penjelasan Ilmiah Tuyul Tak Curi Uang di Bank|Netral
Terungkap, Orang Terkaya Israel Mesin Uangnya Populer di RI|Netral
RI Ramai-Ramai Ditinggal Bank Asing, Cek Daftar Terbaru|Negatif
Jokowi Mau Lepas Jabatan, Segini Gaji & Uang Pensiunnya|Netral
Kisah Raja Rokok RI Ganti Nama Perusahaan Gegara Mimpi|Netral
Duh! Banyak Warga RI Pakai Paylater Tidak Mau Bayar|Negatif
Antam Tidak Bisa Diminta Tanggung Jawab di Sengketa Emas Budi Said|Netral
Ada Prabowo di Acara Perayaan Natal Kementerian BUMN|Netral
Tak Jadi Mundur dari Gubernur Jatim, Segini Gaji & Tunjangan Khofifah|Netral
IHSG Ditutup Loyo, Emiten Prajogo Pangestu Jadi Biang Kerok|Negatif
BI Kabarkan Utang RI Tembus US$400 miliar, Rupiah Turun Tipis|Negatif
Dukung UMKM, BSI Siap Salurkan KUR Syariah Rp 16 T di 2024|Positif
Berani Resign dari PDIP & Ikut Jokowi, Segini Harta Maruarar Sirait|Netral
Bukan Sultan Gadungan, Ini 10 Konglomerat Terkaya Timur Tengah|Netral
Pasar Kripto Kebanjiran Dana Rp18 T Pasca ETF Bitcoin Spot Disetujui|Positif
Konflik Laut Merah Masih Panas, Tapi Minyak Gagal Terbang Gegara Ini|Negatif
Pelaku Pasar Tunggu Hasil Rapat Dewan Gubernur BI, Rupiah Lanjut Turun|Negatif
Alert! Bursa Asia Dibuka Kebakaran, Nikkei Gagal Cetak Rekor Lagi|Negatif
Penjualan Ritel AS Naik, Wall Street Dibuka Koreksi!|Negatif
Wajib Tahu! Ini Perbedaan Kartu Kredit, Paylater & Pinjol|Netral
Kaya Mendadak, 4 Bos Medco (MEDC) Dapat Jutaan Saham Gratis|Netral
BRI Finance Salurkan Pembiayaan Rp 6 Triliun Sepanjang 2023|Positif
BI Siapkan Rp 260 T Jelang Pemilu & Lebaran 2024|Netral
Simak! Keputusan Lengkap BI Tahan Suku Bunga Acuan 6%|Netral
Target BI: Kredit Tumbuh 10%-12% Tahun Ini|Positif
OJK Terbitkan Aturan Main Modal Ventura, Ini Isinya|Netral
Rombak Manajemen, 360Kredi Tunjuk Eks Bos AFPI Kuseryansyah Jadi Dirut|Netral
Saham Apple dan Nvidia Menguat, Nasdaq dan S&P Dibuka Hijau|Positif
LSI Denny JA: Prabowo-Gibran 46,6%, Ganjar-Mahfud 24,8%, AMIN 22,8%|Netral
Penjelasan Lengkap Kejagung Soal Penipuan Emas Antam Rp1,1 T Budi Said|Negatif
Ada Potensi Kerugian Negara Lebih Besar, Antam Diminta Ajukan PK 2|Negatif
Viral, Modal Rp200 Ribu, Penjual Jamu Ini Kini Omsetnya 100 Kali Lipat|Netral
Kejagung Geledah Rumah Budi Said di Surabaya, Temukan Logam Mulia|Negatif
Pemufakatan Jahat Budi Said di Penipuan Emas Antam Rp1,1 T Terbongkar|Negatif
Pengertian Saham Gorengan, Ciri-Ciri, dan Cara Menyikapinya|Netral
Breaking: Budi Said Tersangka Penipuan Emas Antam, Ditahan Kejagung|Negatif
Keperkasaan Dolar Melandai, Bursa Wall Street Dibuka Hijau!|Positif
Ini 10 Pekerjaan dengan Gaji Tertinggi di 2023, Ada Punyamu?|Netral
Batu Bara 'Bakal' Hilang, Energi Ini Bisa Bikin RI Jadi Raja|Netral
Perkuat Pengawasan Pasar Modal, OJK Terbitkan 2 Aturan Baru|Positif
IHSG Ditutup Turun 0,35% Diseret Emiten Prajogo Pangestu|Negatif
Asuransi Amanah Githa Ganti Nama, Jadi Diakuisisi Kitabisa?|Netral
2 Hari Beruntun Rupiah Naik Gegara Optimisme Pemangkasan Suku Bunga|Positif
Kinerja Moncer, UNTD Tawarkan Harga Saham Rp 170 - Rp 240|Positif
Pasar Saham AS Cetak Rekor, Bye Suku Bunga Tinggi & Ekonomi Pandemi|Positif
Kompak Hengkang dari PDIP, Segini Harta Maruarar & Budiman|Netral
Masa Kerja Tinggal 9 Bulan, Jokowi Akan Terima Uang Pensiun Segini|Netral
Kasus Budi Said, Kejagung: Ada Konspirasi Jahat Pembelian Emas Antam|Negatif
Pernah Makan Korban, Ini Arti Saham Gorengan dan Ciri-cirinya|Netral
Kena Pajak 40%, Ini Dia Daftar Artis Pemilik Bisnis Karaoke|Netral
Cuma Kerja 5 Tahun, Anggota DPR Dapat Uang Pensiun Segini..|Netral
Titiek Soeharto Mantan Istri Prabowo, Punya Harta Setengah Triliun!|Netral
Top Gainers Pekan Lalu Banyak Saham Konglomerat RI|Netral
Sempat Terbang, Rupiah Sepekan Akhirnya Cuma Menguat Tipis|Positif
IHSG Sepekan Keok Diombang-ambing Emiten Orang Terkaya RI|Negatif
"Saat Raja Ritel RI ""Menyerah"" Kepada Keluarga Riady"|Netral
Harga Emas Sepekan Naik Turun Bak Roller Coaster|Negatif
Kisah Bisnis Salim yang Ambruk Setelah 3 Dekade Menguasai RI|Netral
Erick Thohir Angkat Menantu Luhut Pandjaitan Jadi Komut Pindad|Netral
Viral Koper Airwheel Gak Bisa Masuk Kabin Pesawat, Produsen Buka Suara|Netral
Tok! OJK Setujui Sosok Ini Jadi Direktur TUGU|Netral
Kementerian BUMN Bakal Bawa Kasus Suap SAP ke Kejagung|Netral
Santer, Investor Singapura Caplok Buana Finance (BBLD) Rp2,1 T|Positif
IHSG Mendadak Lompat dan Berakhir Hijau Diangkat Saham-saham Ini|Positif
Adakan Kegiatan Edukasi Keuangan ke Anak SMA se-Jaksel, Ini Pesan OJK|Netral
Gibran Singgung CCS di Debat, Seberapa Efektif Untuk Transisi Energi?|Netral
Subsidi Energi Melonjak, Pemerintah Diminta Hapus Program Ini|Negatif
Emiten Prajogo Pangestu Buka-Bukaan Isu Pipa Gas Bocor di Cilegon|Netral
Harga Ambles, BHP & Wyloo Hentikan Operasi Tambang Nikel di Australia|Negatif
Bank Rebutan Tabungan, Profitabilitas Tergerus|Negatif
2 Hari Beruntun IHSG Tiba-tiba Menguat & Ditutup Hijau, Ada Apa?|Positif
Modal Ventura Ikut Sasar UMKM, Ini Beda Dengan Pinjol & Pinjaman Bank|Netral
OJK: Fintech P2P yang Belum Turunkan Bunga Pinjaman Sisa Satu|Netral
Pelanggan Netflix Tembus Rekor, Wall Street Berjalan di Zona Hijau|Positif
Asuransi Prolife Milik Henry Surya Umumkan Tim Likuidasi|Netral
Saham Syariah Dan Saham Konvensional, Apa Bedanya?|Netral
Krisis Properti China, Country Garden Jual Aset Rp 8 T, Utang Rp239 T|Negatif
Perbankan dan Pinjol, Harus Bersaing atau Kolaborasi?|Netral
Dear Investor, Begini Peluang Investasi di Tahun Politik|Netral
Inflasi AS Semakin Mendingin, Wall Street Pesta Cuan!|Positif
Breaking! Dolar Ngamuk, Rupiah Tembus Rp15.820/US$|Negatif
Mengenal Unusual Market Activity (UMA) di Saham, Investor Harus Apa?|Netral
Kinerja Meleset, Saham Tesla Anjlok 6%|Negatif
Lo Kheng Hong Kasih Tips Ini Agar Warga Miskin RI Bisa Beli Rumah|Netral
Ini Cara LPS Tangani Bank Gagal Sistemik & Lindungi Dana Nasabah|Netral
Incar Pasar Motor Listrik, United Bike Ungkap Strategi Usai IPO|Netral
Rupiah Ambruk Paling Parah di Asia, Ini Dia Penyebabnya!|Negatif
Nilai Akuisisi Rp 2,2 T, OCBC Bakal Merger dengan Commonwealth|Positif
Arti Buyback Saham dan Alasan Emiten Melakukannya|Netral
Aturan Baru Penagihan Kredit, Ini Kata Asosiasi Multifinance & Fintech|Netral
Bos TPIA Borong 968.600 Saham. Rogoh Kantong Rp 3,9 Miliar|Positif
RAPP Perusahaan Pertama Pakai Bus Listrik, Ini Alasannya|Netral
Heboh! Akun Ditjen Pajak Pantau Istri Ustaz Solmed di TikTok|Netral
Deretan Bank Asing yang Kompak Tinggalkan Indonesia|Negatif
Diam-Diam Ada Saham yang Terbang 117% Pekan Ini, Siapa Emitennya?|Positif
Viral Bayar Kuliah ITB Pakai P2P Lending, Danacita Klarifikasi ke OJK|Netral
Rupiah Hancur Lebur di Januari, Tanda-Tanda Apa?|Negatif
Kilau Emas Dunia Meredup, Berapa Harganya Sekarang?|Negatif
IHSG Benar-Benar Loyo, Sepekan 'Merah' Membara|Negatif
Abdee Slank Tegas Dukung Ganjar-Mahfud, Rela Tinggalkan Gaji Segini|Netral
Bank Mandiri Ungkap Peran Digitalisasi dalam Tangkap Peluang Bisnis|Positif
Lo Kheng Hong Sebut Kebiasaan Warga RI Ini Bikin Miskin, Apa Itu?|Netral
Ini Profil William Li, Founder Akulaku yang Kena Semprit OJK|Netral
Nah! Ini Dia Sang Legenda Debt Collector di Indonesia|Netral
Sosok Pengusaha Sawit Ini Bikin Negara Rugi Rp100 Triliun|Negatif
Kata Lo Kheng Hong, Kebiasaan Orang RI Ini Bikin Miskin!|Netral
Musim Rilis Laporan Keuangan, Wall Street Dibuka Sumringah|Positif
Bikin Happy, UNTD Janjikan Rajin Tebar Dividen Setelah IPO|Positif
Emiten Prajogo Pangestu TPIA Ditendang dari LQ45, Bursa Buka Suara|Negatif
Disebut Sri Mulyani Profesi Idaman Mertua, Ini Bankir Terkaya di Dunia|Netral
Live Now: Bos BRI Buka-Bukaan Soal Investasi Cuan di Tahun Naga Kayu|Netral
BEI Buka Peluang Kocok Ulang Indeks LQ45 3 Bulan Sekali|Netral
Investor Ramai-ramai Serbu SBN, SRBI Kurang Laku|Netral
IHSG Bisa Tembus 7.600, Emiten Sektor Ini Bisa Bikin Cuan|Positif
Incar Pasar Asia Pasifik, PIS Kian Ekspansif di Singapura|Positif
IHSG Rebound! BBRI & BMRI Jadi Penggerak Utama|Positif
BRIS Melejit Lagi, Market Cap Salip BRPT GOTO DCII|Positif
Pasar Menanti Kabar Baik dari The Fed, Rupiah Ditutup Rp15.805/US$|Positif
Investor Lebih Was-was Sri Mulyani Cs Mundur Ketimbang Jokowi Kampanye|Netral
Asuransi Jasindo Bayar Klaim Gagal Panen Petani Rp 1,1 Miliar|Negatif
Dikelola Ugal-Ugalan, Satu Bank Syariah Bangkrut|Negatif
Ini Alasan Finlandia Boyong 15 Perusahaan Buat Investasi di IKN|Positif
Ramalan Chatib Basri, The Fed Akan Pangkas Suku Bunga Segini di 2024|Netral
Investor Kecewa! Ada Fokus Baru, Wall Street Dibuka Anjlok|Negatif
Gokil! SWF Terbesar Dunia Catat Rekor Untung, Tembus Rp 3.363 T|Positif
LPS Sorot Tabungan Rp 5 M Menyusut, Ini Penyebabnya|Negatif
Pendiri Netflix Sumbang Saham Senilai Rp 17,3 T|Positif
Mantan Istri Jeff Bezos Buang Saham Amazon Rp164,29 T|Negatif
LPS: Banyak BPR Bangkrut Gara-Gara 'Dimaling' Pemiliknya|Negatif
Ngeri, Ini Dampak Jatuhnya Evergrande ke Ekonomi Global|Negatif
Kitabisa Akuisisi Asuransi Amanah Githa, Program SalingJaga Jalan Lagi|Positif
Punya Rp 211 T, LPS Jamin Dana Masyarakat di Bank Aman|Netral
Kabar The Fed Bikin Dag Dig Dug, Wall Street Kompak Dibuka Anjlok|Negatif
Sebelum Jadi Presiden, Ini Sumber Kekayaan Keluarga Jokowi|Netral
Kantongi RKAB Sampai 2026, BUMI Targetkan Produksi 80 Juta Ton|Netral
GOTO Pede Mau Buyback Saham, Ternyata Ini Alasannya!|Netral
Sampoerna Bantah Berpihak ke Prabowo, Boy Thohir Bilang Gini|Netral
Taking Profit Usai, Wall Street Kembali Ke Zona Hijau|Positif
Debt Collector Ternyata Boleh Tagih di Luar Jam Kerja, OJK Buka Suara|Netral
Bayar UKT ITB Pakai P2P Lending, Ini yang Dikhawatirkan OJK|Negatif
Jokowi Bukan Presiden RI Termiskin, Siapa yang Terkaya?|Netral
BRI Life Cairkan Rp5,59 T Klaim Sepanjang 2023|Positif
OJK: Pinjam Uang Sengaja Tak Bayar Tidak akan Dilindungi|Netral
Bank Mandiri Sebut Ini Soal Pengganti Siddik Badrudin|Netral
ADB Beri Utang Rp6,6 T ke RI, Bangun Sanitasi|Netral
Segini Harta Mahfud Sebelum Mundur Jadi Menkopolhukam Jokowi Terlama|Netral
Laba Meroket 33%, Inovasi Ini Bikin BSI Cetak Kinerja Impresif|Positif
Jokowi Ngamuk Tabungan Tak Diputar Bank, Ini Datanya!|Negatif
Prabowo Kapok Main Saham di Eropa, BEI: di Indonesia Bisa Untung|Netral
IHSG Ditutup Turun 0,09% Hari Ini, 6 Saham Ini Jadi Beban|Negatif
Jokowi Kasih Iriana Hadiah Tas Seharga Rp 25 Ribu, Ternyata Produk Ini|Netral
Ambisi Prabowo Mau Sulap Singkong Jadi Bensin, Kelapa Sawit Jadi Solar|Netral
Digitalisasi BSI Makin Ekspansif, Belanja IT Tahun Ini Rp 1,5 T|Positif
Kabar Ini Beri Angin Segar Bagi RI, Dolar Ditutup Rp15.760|Positif
Kinerja Keuangan Hingga Data Pengangguran, Warnai Pasar Wall Street|Netral
Siapapun Presidennya, Industri Batu Bara Butuh Kepastian Kebijakan|Netral
Bayan Resources Ungkap Tantangan Sektor Batu Bara di 2024|Netral
Pelaku Industri Batu Bara Dukung Skema Iuran MIP Segera Diwujudkan|Netral
Dolar Menguat, Gimana Efeknya ke Bisnis Batu Bara? Ini Kata Bos Bayan|Netral
Pemerintah Godok Student Loan, Danacita Ajukan Diri Jadi Penasihat|Netral
Begini Cara WIKA Realisasikan Penguatan Tata Kelola|Netral
Dipakai Buat Bayar Kuliah, Segini Kredit Macet Danacita|Netral
Bukan Cuma ITB, Danacita Kerja Sama dengan Hampir 100 Kampus di RI|Positif
Simak Rahasia Bayan Resources Cetak Kinerja Brilian di 2023|Netral
Tito Karnavian Jadi Pengganti Mahfud MD, Segini Hartanya|Netral
Produk Ramah Lingkungan Jadi Primadona, Begini Prospek Sahamnya|Netral
JSKY Potensi Delisting, Sahamnya Banyak Dipegang Kejagung & Mirae|Negatif
IHSG Jadi Happy Weekend, 2 Saham Bank Jumbo Ini Jadi Penopangnya|Positif
Korban Wanaartha Dibayar Februari 2024, Ini Syaratnya|Netral
Rupiah Menguat Enam Hari Beruntun, Dolar Jadi Rp 15.655|Positif
Bidik Pertumbuhan Kredit 11-12%, Ini Strategi BRI di 2024|Positif
Potensi Delisting, HOTL Punya Banyak Tato dari BEI|Negatif
Dorong Literasi dan Inklusi Keuangan, OJK Gandeng Prakerja|Positif
Vonny Ernita Susamto CEO Baru Tokopedia, Ini Profilnya|Netral
Gurita Bisnis Raffi Ahmad, RANS Punya Valuasi Rp 3 T & Berencana IPO|Positif
CEO Mundur, OJK Beberkan Perkembangan Pemeriksaan Investree|Negatif
Ini Dia Bank Penguasa Duit Warga RI|Netral
Bos OJK: Ingat Camilan Sebelum Ajukan Pinjaman ke P2P Lending|Netral
Saat Bos OJK Jadi Emergency Contact dan Ditagih Tunggakan Paylater|Netral
Simak! Ini Saldo Minimum BCA, Bank Mandiri, BNI, dan BRI|Netral
Kisah Raja Ritel RI Menyerah Kepada Keluarga Riady|Netral
Breaking! Rupiah Perkasa, Dolar Sentuh Rp15.675|Positif
Sosok 3 Raja Debt Collector Indonesia yang Jadi Sorotan Publik|Netral
Kisah Kejayaan Raja Ritel RI Jatuh ke Tangan Lippo|Netral
Kisah Buruh Pabrik Kini Jadi Ratu Properti Berharta Rp 17 Triliun|Netral
Segini Gaji Kades dan Sekdes di RI, Anda Minat?|Netral
Jeff Bezos Mau Jual Rp 133 Triliun Saham Amazon, Buat Apa?|Netral
Terusir dari RI, Pria Ini Balas Dendam Jadi Raja Hotel Dunia|Netral
Harga Emas Sepekan, Mending Beli atau Jual?|Netral
4 Tokoh Kunci Ekonomi RI Bertemu, Rupiah Melesat 1,01% Sepekan|Positif
Ini Deretan Saham Top Gainers & Loser Pekan Ini|Netral
Ini Sosok Pengacara yang Sukses Bikin Elon Musk Boncos Rp 852 T|Netral
Asing Rajin Tanam Modal ke RI, IHSG Melesat 1,42% Pekan Ini|Positif
Mundur Dari Komut Pertamina Demi Dukung Ganjar, Ahok Lepas Gaji Segini|Netral
Sosok Titiek Soeharto, Mantan Istri Prabowo Berharta Rp 592 Miliar|Netral
Lo Kheng Hong Blak-Blakan Sebut Kebiasaan Ini Bikin Warga RI Miskin|Netral
Bahlil Sebut Sosok Ini Mau Jual Negara, Sindir Tom Lembong?|Netral
6 Multifinance Gugur Tahun Lalu, 8 Sisanya Tinggal Menghitung Waktu|Negatif
Teka-teki Emas 57 Ton Milik Sukarno dari Presiden AS, Ini Faktanya|Netral
Kebiasaan Ini Bikin Orang Susah Kaya, Kamu Punya?|Netral
Jadi Presiden Dua Periode, Segini Uang Pensiun Jokowi|Netral
Usai Terbang Pekan Lalu, Wall Street Kebakaran Hari Ini|Negatif
Joss! Unilever Raih Penghargaan Super FMCG Brand dari Shopee|Positif
Ketahuan Cuci Uang Perusahaan Iran, Saham Bank Raksasa Eropa Ambruk|Negatif
Perusahaan Tambang Bill Gates Temukan Harta Karun Raksasa di Afrika|Netral
Tok! Bos Samsung Electronics Bebas Dari Tuduhan Rekayasa Merger|Netral
PTPP Raih Kontrak Baru Senilai Rp 3,5 T di Januari 2024|Positif
Bank Bangkrut RI Tambah Satu Lagi, Kali Ini di Surakarta|Negatif
Gegara 7 Saham Big Cap Ini, IHSG Terkapar ke 7.100-an Lagi|Negatif
Pekerja Keuangan Ini Kena Tipu Rp392 M, Pelaku Pakai Deepfake|Negatif
Pasar Logam Suram, Nikel Kebanggaan Jokowi Terperosok Paling Dalam|Negatif
Pertumbuhan Ekonomi RI Melambat, Rupiah Melemah ke Rp15.700/US$|Negatif
